text,user_location,tweet_date,time,city
"Descanse em Paz João Acaiabe, que notícia triste, mais um que o Covid-19 levou 😭🙏 Eterno Chico de Chiquititas e Tio Barnabé do Sítio do Pica-Pau Amarelo 😭","Lorena, Brasil",2021-04-01,05:19:54,Lorena
"Balanço COVID-19 (31/03/2021) Novos casos: 90,638 Total de casos: 12,748,747 Novos óbitos: 3.869 *recorde* Total de óbitos: 321.810 É morte demais, são pessoas demais doentes. #VacinaParaTodosJa #ForaBolsonaro #ForaBol卐onaroGenocida","Formosa, Brasil",2021-04-01,05:16:36,Formosa
Será que agora o bozo compra pra vacinar esse gado todo?,"Rio de Janeiro, Brasil",2021-04-01,05:21:24,Rio de Janeiro
q descanse em paz,"Minas Gerais, Brasil",2021-04-01,05:20:12,Minas Gerais
Tio Barnabe. Um marco na minha infância 💔😥,"São Paulo, Brasil",2021-04-01,05:22:34,São Paulo
"achei que isso fosse só meme, a galera tá achando que tomar vacina do covid-19 impede de contrair e transmitir o vírus","Minas Gerais, Brasil",2021-04-01,05:18:11,Minas Gerais
"tio Barnabé, com seu cachimbo ele é","Osasco, Brasil",2021-04-01,05:23:58,Osasco
Idoso de 110 anos recebe a 1ª dose da vacina e relembra que venceu a Covid-19 -,"Campos dos Goytacazes, Brasil",2021-04-01,05:20:07,Campos dos Goytacazes
Que tristeza Morre de Covid19 o ator #JoãoAcaiabe Meus sentimentos a família #ChicoDeChiquititas,"Ribeirão Preto, Brasil",2021-04-01,05:20:45,Ribeirão Preto
eterno chef chico!! meu deus eu adorava essa chiquititas. descanse em paz 😭🙏,"Rio de Janeiro, Brazil",2021-04-01,05:19:30,Rio de Janeiro
PORRA O JOÃO QUE FAZIA O CHEFE CHICO EM CHIQUITITAS MORREU DE COVID-19 FIQUEM EM CASA SEUS CORNOS #coronavirus,"Passo Fundo, Brasil",2021-04-01,05:38:38,Passo Fundo
coronavirus eu so quero marcar o date em paz será que você poderia peloamordedeus dar licença se retirar sumir morrer,"Fortaleza, Brasil",2021-04-01,05:29:42,Fortaleza
Agora é só trazer infectados de outros estados...Hipócrita!!! Vê se lembra de prestar contas ao STF.,"Guarapari, Brasil",2021-04-01,05:38:50,Guarapari
SP encerra março com recorde de óbitos e casos por Covid-19 - Leia mais no site,"Araçatuba, Brasil",2021-04-01,05:35:07,Araçatuba
Tô chorando dms,"Uberlândia, Brasil",2021-04-01,05:34:36,Uberlândia
"To vendo os assuntos comentados e me deparo com isso, como assim gnt?? Que ele descanse em paz, toda vez que eu assistir Chiquititas vai ser com lágrimas nos olhos. 🥺😔","Salvador, Brasil",2021-04-01,05:35:40,Salvador
E socialista sabe trabalhar e fazer conta??? Socialidta sabe fumar maconha e odiar os donos de grandes fortunas. . #viva1964 #Brasil #COVID19 #coronavirus,"Rio de Janeiro, Brasil",2021-04-01,05:42:28,Rio de Janeiro
Alaska Airlines Junta-Se A Oneworld Oficialmente Depois De 89 Anos De Existência,"Rio de Janeiro, Brasil",2021-04-01,05:38:54,Rio de Janeiro
Apenas 10 países possuem mais mortes por covid-19 que o estado de São Paulo | Brasil | iG,"Recife, Brasil",2021-04-01,05:36:49,Recife
Mano to triste vei VAI EMBORA CORONA DESGRAÇADO,"Três Lagoas, Brasil",2021-04-01,05:33:40,Três Lagoas
"“É preciso tomar muito cuidado com os indicadores de saúde, mas tb fazer uma campanha de conscientização muito forte p/ q as pessoas continuem a aderir a todas as maneiras de controle q sabemos q são efetivas"", diz o epidem. Mauro Sanchez #COVID19 #COVID","São Paulo, Brasil",2021-04-01,05:34:21,São Paulo
"Enquanto 3.000 pessoas são enterradas em sacos pretos, políticos se atacam mutuamente desesperados para emplacar nas próximas eleições, jornalistas divulgam fofocas sem checar a informação e artistas ensinam futilidades via Lives. Mas no mundo real...🚔💸🤯 #coronavirus #Covid19","São Paulo, Brasil",2021-04-01,05:36:55,São Paulo
Muito triste 😔😔,"Rio de Janeiro, Brasil",2021-04-01,05:33:52,Rio de Janeiro
Com 3.869 mortes em 24hrs algo pra nós dar esperança 🙏,"Ubatuba, Brasil",2021-04-01,05:55:17,Ubatuba
"""As pessoas estão desdenhando de uma situação extremamente grave, não só para a nossa região, mas para o país e para o mundo”, desabafa #COVID19 #coronavirus","São Paulo, Brasil",2021-04-01,05:47:05,São Paulo
"100% gatilhada pela covid-19 nessa madrugada o que a gente tá vivendo é extremamente triste e preocupante, eu to morrendo de medo","São Paulo, Brasil",2021-04-01,05:59:47,São Paulo
"eu te odeio corona vírus, eu te odeio com todas as minhas forças.","São Paulo, Brasil",2021-04-01,06:03:15,São Paulo
"""Os óbitos estão aí, as UTIs lotadas, e as pessoas negam essa realidade em troca de uma cerveja, um bate-papo, sabendo q ela não vai poder ter + esse bate-papo se ela for parar numa UTI"" diz o infectologista Saulo Passos #COVID19 #coronavirus","São Paulo, Brasil",2021-04-01,05:47:04,São Paulo
"Acre fecha março com recorde de mortes por Covid-19 desde o início da pandemia: ‘alarmante’, diz médico","Acre, Brasil",2021-04-01,06:04:49,Acre
Gente alguém me fala que isso é mentira pelo amor de deus,"Conselheiro Lafaiete, Brasil",2021-04-01,05:44:13,Conselheiro Lafaiete
